# Quarkdown v2.5.1 @QFunction public inventory; generated from the pinned source sweep.
# Columns: public-name\texact-public-signature\tpinned-source\t#151-disposition/owner\t#147-status
# Binding annotations are retained in parameter markers: [injected], [body],
# [spread], [likely-named], and [likely-body]. `inferred` preserves a source
# declaration without an explicit Kotlin return type.
marker	marker(name: InlineMarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L974-L974	#153	NOT_APPLICABLE
navigation	navigation(role: NavigationContainer.Role? = null, content[body]: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L998-L1001	#153	NOT_APPLICABLE
tableofcontents	tableofcontents(context[injected]: Context, title[likely-named]: InlineMarkdownContent? = null, maxdepth: Int = 3, breakpage: Boolean = true, headingdepth: Int? = null, numberheading: Boolean = false, indexheading: Boolean = false, focus: InlineMarkdownContent? = null) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L1031-L1040	#153	NOT_APPLICABLE
include	include(context[injected]: MutableContext, path: String, sandbox[likely-named]: ContextSandbox = ContextSandbox.SHARE) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Ecosystem.kt#L94-L98	#155	NOT_APPLICABLE
includeall	includeall(context[injected]: MutableContext, paths[likely-body]: Iterable<Value<*>>) -> IterableValue<OutputValue<*>>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Ecosystem.kt#L127-L130	#155	NOT_APPLICABLE
subdocument	subdocument(path: String, label: InlineMarkdownContent? = null, anchor: String? = null) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Ecosystem.kt#L150-L154	#155	NOT_APPLICABLE
emoji	emoji(shortcode: String) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Emoji.kt#L38-L38	#154	NOT_APPLICABLE
allemojis	allemojis() -> DictionaryValue<StringValue>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Emoji.kt#L56-L56	#154	NOT_APPLICABLE
if	if(condition: Boolean?, body[likely-body]: Lambda) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L83-L86	#150	NOT_APPLICABLE
ifnot	ifnot(condition: Boolean?, body[likely-body]: Lambda) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L102-L105	#150	NOT_APPLICABLE
